"ObjectApiName","ObjectLabel","ObjectKind","FieldApiName","FieldLabel","FieldType","IsFormula","ReferenceTo","PicklistValues","Required","Unique","Length","HelpText"
"Account","Account","Standard Object","Job_Seeking_Intensity__c","Job Seeking Intensity","Number","False","","","False","False","",""
"Account","Account","Standard Object","Joining_Date__c","Joining Date","Date","False","","","False","False","",""
"Account","Account","Standard Object","Last_4_digits_of_SSN__c","Last 4 digits of SSN","Number","False","","","False","False","",""
"Account","Account","Standard Object","Last_Alert_Sent__c","Last Alert Sent","Date","False","","","False","False","",""
"Account","Account","Standard Object","Latest_Internal_Interview_Date__c","Latest Internal Interview Date","DateTime","False","","","False","False","",""
"Account","Account","Standard Object","LinkedIn_Email_Id__c","LinkedIn Email Id","Email","False","","","False","False","",""
"Account","Account","Standard Object","LinkedIn_Password__c","LinkedIn Password","EncryptedText","False","","","False","False","25",""
"Account","Account","Standard Object","LinkedIn_Profile_URL__c","LinkedIn Profile URL","Url","False","","","False","False","",""
"Account","Account","Standard Object","List_of_Certifications__c","List of Certifications","TextArea","False","","","False","False","",""
"Account","Account","Standard Object","Marketing_Email_Id__c","Marketing Email Id","Email","False","","","False","False","",""
"Account","Account","Standard Object","Marketing_Email_Password__c","Marketing Email Password","EncryptedText","False","","","False","False","30",""
"Account","Account","Standard Object","Middle_Name__c","Middle Name","Text","False","","","False","False","100",""
"Account","Account","Standard Object","Military_Status__c","Military Status","Picklist","False","","Active Duty;Reserve or National Guard;Veteran;Retired Military;Military Spouse;No Military Service;Prefer not to say","False","False","",""
"Account","Account","Standard Object","Name",,,"False","","","False","False","",""
"Account","Account","Standard Object","Niche__c","Niche","Picklist","False","","AI ML Engineer;Python Developer/Engineer;Java Fullstack Developer/Engineer;Product/Project Manager;Marketing Manager;Finance Analyst;Other","False","False","",""
"Account","Account","Standard Object","Niche_Other__c","Niche Other","Text","False","","","False","False","255",""
"Account","Account","Standard Object","No_of_Degrees__c","No of Degrees","Picklist","False","","1;2;3;4;5","False","False","",""
"Account","Account","Standard Object","Notes__c","Notes","TextArea","False","","","False","False","",""
"Account","Account","Standard Object","Notice_Period__c","Notice Period","Picklist","False","","Immediate;1 Week;2 Weeks;30 Days;60 Days","False","False","","Select how soon the candidate can start. Immediate means they can start right away. Update this field as situation changes."
"Account","Account","Standard Object","NumberOfEmployees",,,"False","","","False","False","",""
"Account","Account","Standard Object","Offer_letter_amount__c","Offer letter amount","Currency","False","","","False","False","",""
"Account","Account","Standard Object","Open_to_relocate__c","Open to relocate","Checkbox","False","","","False","False","",""
"Account","Account","Standard Object","Other_Consultancies_Name__c","Other Consultancies Name","Text","False","","","False","False","255",""
"Account","Account","Standard Object","Other_please_specify__c","Other (please specify)","Text","False","","","False","False","255",""
"Account","Account","Standard Object","OwnerId",,"Lookup","False","","","False","False","",""
"Account","Account","Standard Object","Ownership",,"Picklist","False","","","False","False","",""
"Account","Account","Standard Object","ParentId",,"Hierarchy","False","","","False","False","",""
"Account","Account","Standard Object","Passport_Number__c","Passport Number","Text","False","","","False","False","255",""
"Account","Account","Standard Object","Payment_Terms__c","Payment Terms","Picklist","False","","Net 15;Net 30;Net 45;Net 60","False","False","","Select the agreed payment terms for this client. Net 30 is standard. Confirm with Finance team before updating this field."
"Account","Account","Standard Object","PersonAssistantName",,,"False","","","False","False","",""
"Account","Account","Standard Object","PersonAssistantPhone",,,"False","","","False","False","",""
"Account","Account","Standard Object","PersonBirthdate",,,"False","","","False","False","",""
"Account","Account","Standard Object","PersonDepartment",,,"False","","","False","False","",""
"Account","Account","Standard Object","PersonDoNotCall",,,"False","","","False","False","",""
"Account","Account","Standard Object","PersonEmail",,,"False","","","False","False","",""
"Account","Account","Standard Object","PersonGenderIdentity",,"Picklist","False","","","False","False","",""
"Account","Account","Standard Object","PersonHasOptedOutOfEmail",,,"False","","","False","False","",""
"Account","Account","Standard Object","PersonHasOptedOutOfFax",,,"False","","","False","False","",""
"Account","Account","Standard Object","PersonHomePhone",,,"False","","","False","False","",""
"Account","Account","Standard Object","PersonLastCURequestDate",,,"False","","","False","False","",""
"Account","Account","Standard Object","PersonLastCUUpdateDate",,,"False","","","False","False","",""
"Account","Account","Standard Object","PersonLeadSource",,"Picklist","False","","","False","False","",""
"Account","Account","Standard Object","PersonMailingAddress",,,"False","","","False","False","",""
"Account","Account","Standard Object","PersonMobilePhone",,,"False","","","False","False","",""
"Account","Account","Standard Object","PersonOtherAddress",,,"False","","","False","False","",""
"Account","Account","Standard Object","PersonOtherPhone",,,"False","","","False","False","",""
"Account","Account","Standard Object","PersonPronouns",,"Picklist","False","","","False","False","",""
"Account","Account","Standard Object","PersonTitle",,,"False","","","False","False","",""
"Account","Account","Standard Object","Phone",,,"False","","","False","False","",""
"Account","Account","Standard Object","Plan__c","Plan","Picklist","False","","Career  Launcher;Career Accelerator;Premium / Fastrack;Ultimate Career Architect","False","False","",""
"Account","Account","Standard Object","Position_Type_C2C__c","Position Type C2C","Checkbox","False","","","False","False","",""
"Account","Account","Standard Object","Position_Type_Full_Time_CTH__c","Position Type Full Time CTH","Checkbox","False","","","False","False","",""
"Account","Account","Standard Object","Preferred_Job_Locations__c","Preferred Job Locations","Text","False","","","False","False","255",""
"Account","Account","Standard Object","Preferred_Job_Positions__c","Preferred Job Positions","Text","False","","","False","False","255",""
"Account","Account","Standard Object","Preferred_Job_Type__c","Preferred Job Type","Picklist","False","","Remote;Hybrid;On-site","False","False","",""
"Account","Account","Standard Object","Preferred_Locations__c","Preferred Locations","TextArea","False","","","False","False","","Enter preferred work locations separated by commas. Example: New Jersey, New York, Texas or Remote Only or Open to Relocation."
"Account","Account","Standard Object","Preferred_Tech_stack_If_Applicable__c","Preferred Tech stack (If Applicable)","Text","False","","","False","False","255",""
"Account","Account","Standard Object","Preferred_Training_Schedule_EST__c","Preferred Training Schedule EST","Picklist","False","","9:30 AM â€“ 11:30 AM EST;11:30 AM â€“ 1:30 PM EST;2:30 PM â€“ 4:30 PM EST;4:30 PM â€“ 6:30 PM EST","False","False","",""
"Account","Account","Standard Object","Preferred_Work_Mode__c","Preferred Work Mode","Picklist","False","","""Remote;Hybrid;Onsite""","False","False","","Select the candidate preferred work arrangement. Remote = fully remote work. Hybrid = mix of remote and office. Onsite = full time at client."
"Account","Account","Standard Object","Previously_Engaged_with_Other_Consultanc__c","Previously Engaged with Other Consultanc","Checkbox","False","","","False","False","",""
"Account","Account","Standard Object","Profile_Notes__c","Profile Notes","Html","False","","","False","False","131072",""
"Account","Account","Standard Object","Project_Understanding_Document__c","Project Understanding Document","LongTextArea","False","","","False","False","32768",""
"Account","Account","Standard Object","QB_Customer_ID__c","QB Customer ID","Text","False","","","False","False","255",""
"Account","Account","Standard Object","Race_Ethnicity__c","Race/Ethnicity","Picklist","False","","American Indian or Alaska Native;Asian;Black or African American;Hispanic or Latino;Native Hawaiian or Other Pacific Islander;White;Two or More Races;Other (please specify)","False","False","",""
"Account","Account","Standard Object","Rating",,"Picklist","False","","","False","False","",""
"Account","Account","Standard Object","Reason_for_Hold__c","Reason for Hold","LongTextArea","False","","","False","False","32768",""
"Account","Account","Standard Object","Relocation_Other__c","Relocation Other","Text","False","","","False","False","100",""
"Account","Account","Standard Object","Relocation_Readiness__c","Relocation Readiness","Picklist","False","","Yes, I am willing to relocate anywhere in the USA;Yes, but only within specific states (mention in comments);No, I prefer remote / local positions only;Other","False","False","",""
"Account","Account","Standard Object","Resume_Ready__c","Resume Ready","Checkbox","False","","","False","False","","Check only after verifying candidate resume is current, properly formatted, and approved for client submission. Required before B2B submission."
"Account","Account","Standard Object","Salary__c","Salary %","Percent","False","","","False","False","",""
"Account","Account","Standard Object","Salary_Expectations__c","Salary Expectations","Text","False","","","False","False","255",""
"Account","Account","Standard Object","Secondary_Email__c","Secondary Email","Email","False","","","False","False","",""
"Account","Account","Standard Object","Secondary_Phone__c","Secondary Phone","Text","False","","","False","False","255",""
"Account","Account","Standard Object","Select_Employee__c","Select Employee","Lookup","False","Recruiter__c","","False","False","",""
"Account","Account","Standard Object","Service_Agreement_Sent__c","Service Agreement Sent?","Checkbox","False","","","False","False","",""
"Account","Account","Standard Object","ShippingAddress",,,"False","","","False","False","",""
"Account","Account","Standard Object","Sic",,,"False","","","False","False","",""
"Account","Account","Standard Object","SicDesc",,,"False","","","False","False","",""
"Account","Account","Standard Object","Site",,,"False","","","False","False","",""
"Account","Account","Standard Object","Slack_User_Id__c","Slack User Id","Text","False","","","False","True","64",""
"Account","Account","Standard Object","SourceSystemIdentifier",,,"False","","","False","False","",""
"Account","Account","Standard Object","Sponsorship_Required_For_VISA__c","Sponsorship Required For VISA?","Checkbox","False","","","False","False","",""
"Account","Account","Standard Object","Target_Achieved__c","Target Achieved","Percent","True","","","False","False","",""
"Account","Account","Standard Object","Targeted_Experience_Level__c","Targeted Experience Level","Picklist","False","","Entry Level;Associate;Mid-Senior level;Director;Executive","False","False","",""
"Account","Account","Standard Object","Technology__c","Technology","Picklist","False","","Account Manager;AI/ML Engineer;Automation Engineer;AWS DevOps Engineer;AWS Solutions Architect;Azure DevOps Engineer;Business & Strategy Consultant;Business Analyst;Cloud Engineer;Computer Support Associate;Customer Success;Cybersecurity Engineer;Data Engineer;DevOps Engineer;Director of Engineering;Electrical Engineer;Engineering Manager;Financial Analyst;Frontend UI Developer;Full Stack Developer;Healthcare Informatics;Human Resources;Industrial Engineer;IT Project Manager;Java Developer;Layout Engineer;Lead Software Engineer;Management Consultant;Manufacturing Engineer;Mechanical Engineer;Microsoft Dynamics Consultant;Network Security Engineer;Oracle/SQL Developer;Product Manager;Product Owner & Scrum Master;QA Automation Lead;Remote IT Technician;Risk Analyst;Sales;Salesforce Administrator;Salesforce Developer;SDET / Automation Tester;Senior Front-End Developer;Software Engineer;System Administrator;Technical Project Manager;VP of Engineering;Python Developer;UI/UX Designer;QA Engineer;Supply Chain Management","False","False","",""
"Account","Account","Standard Object","TickerSymbol",,,"False","","","False","False","",""
"Account","Account","Standard Object","Tier",,,"False","","","False","False","",""
"Account","Account","Standard Object","Total_Internal_Interviews_Excl_Intake__c","Total Internal Interviews Excl Intake","Number","False","","","False","False","",""
"Account","Account","Standard Object","Total_Interviews__c","Total Interviews","Number","False","","","False","False","",""
"Account","Account","Standard Object","Total_no_of_Interviews_Initial_calls__c","Total no. of Interviews & Initial calls","Summary","False","","","False","False","",""
"Account","Account","Standard Object","Total_Number_of_Applications__c","Total Number of Applications","Number","False","","","False","False","",""
"Account","Account","Standard Object","Total_Number_of_Initial_Calls__c","Total Number of Initial Calls","Summary","False","","","False","False","",""
"Account","Account","Standard Object","Total_Number_of_Interview__c","Total Number of Interviews","Summary","False","","","False","False","",""
"Account","Account","Standard Object","Total_Number_of_Interviews__c","Total Number of Interviews","Number","False","","","False","False","",""
"Account","Account","Standard Object","Total_Training_Sessions__c","Total Training Sessions","Number","False","","","False","False","",""
"Account","Account","Standard Object","Total_Years_of_Experience__c","Total Years of Experience","Number","False","","","False","False","",""
"Account","Account","Standard Object","Type",,"Picklist","False","","","False","False","",""
"Account","Account","Standard Object","Upfront_Amount__c","Upfront Amount","Currency","False","","","False","False","",""
"Account","Account","Standard Object","Website",,,"False","","","False","False","",""
"Account","Account","Standard Object","Work_Authorization__c","Work Authorization","Picklist","False","","","False","False","",""
"Account","Account","Standard Object","Work_Authorization_Expiry_Date__c","Work Authorization Expiry Date","Date","False","","","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Candidate_Interview_Change__c","Candidate Interview Change","Lookup","False","Account","","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Compass_R_scheduler_run_by__c","Compass R scheduler run by","Lookup","False","Recruiter__c","","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Compass_R_scheduler_run_on__c","Compass R scheduler run on","DateTime","False","","","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Compass_R_scheduler_run_Response_Body__c","Compass R scheduler run Response Body","LongTextArea","False","","","False","False","32768",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Compass_R_scheduler_run_Status_Code__c","Compass R scheduler  run Status Code","Number","False","","","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Interview__c","Interview","Lookup","False","Interview__c","","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Interview_ID__c","Interview ID","Lookup","False","Interview__c","","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Interviews_ID__c","Interviews ID","Number","False","","","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Last_Support_Person__c","Last Support Person","Lookup","False","User","","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Last_Support_Person1__c","Last Support Person","Lookup","False","Recruiter__c","","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Main_AI_Assignment_scheduler_run_by__c","Main AI Assignment scheduler run by","Lookup","False","Recruiter__c","","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Main_AI_Assignment_scheduler_run_on__c","Main AI Assignment scheduler run on","DateTime","False","","","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Main_AI_Assignment_scheduler_run_respons__c","Main AI Assignment scheduler run respons","LongTextArea","False","","","False","False","32768",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Main_AI_Assignment_scheduler_run_status__c","Main AI Assignment scheduler run status","Number","False","","","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Manual_Main_AI_Assignment_Flow_run_by__c","Manual Main AI Assignment Flow run by","Lookup","False","User","","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Manual_Main_AI_Assignment_run_by__c","Manual Main AI Assignment run by","Lookup","False","Recruiter__c","","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Manual_Main_AI_Assignment_run_on__c","Manual Main AI Assignment run on","DateTime","False","","","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Manual_Main_AI_Assignment_run_Response__c","Manual Main AI Assignment run Response","LongTextArea","False","","","False","False","32768",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Manual_Main_AI_Assignment_run_status_cod__c","Manual Main AI Assignment run status cod","Number","False","","","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","New_Support_Person__c","New Support Person","Lookup","False","Recruiter__c","","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","preferred_support_person_initiated_by__c","preferred support person initiated by","Lookup","False","User","","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","preferred_support_person_initiated_On__c","preferred support person initiated On","DateTime","False","","","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Reassignment_by__c","Reassignment  by","Lookup","False","Recruiter__c","","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Reassignment_Initiated_By__c","Reassignment Initiated By","Lookup","False","User","","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Reassignment_on__c","Reassignment on","DateTime","False","","","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Reassignment_Other_Reason__c","Reassignment Other  Reason","Text","False","","","False","False","20",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Reassignment_Reason_Picklist_Values__c","Reassignment Reason Picklist Values","Picklist","False","","Previous round extended for current Interview Support Person;Interview Support Person unavailable;Scheduling conflict;Interview Support Person at capacity;Skill / domain mismatch;Candidate preference;Time zone mismatch;Escalation from team lead / manager;Other","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Reassignment_run_response_body__c","Reassignment  run response body","LongTextArea","False","","","False","False","32768",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Reassignment_run_status_code__c","Reassignment  run status code","Number","False","","","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Reshuffle_Initiated_By__c","Reshuffle Initiated By","Lookup","False","User","","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Reshuffle_Initiated_On__c","Reshuffle Initiated On","DateTime","False","","","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Reshuffle_Reason__c","Reshuffle Reason","Picklist","False","","Previous round extended for current Interview Support Person;Interview Support Person unavailable;Scheduling conflict;Interview Support Person at capacity;Skill / domain mismatch;Candidate preference;Time zone mismatch;Escalation from team lead / manager;Other","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Reshuffle_Reason_Comment__c","Reshuffle Reason Comment","Text","False","","","False","False","250",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Reshuffle_Run_Reason__c","Reshuffle Run Reason","Picklist","False","","Previous round extended for current Interview Support Person;Interview Support Person unavailable;Scheduling conflict;Interview Support Person at capacity;Skill / domain mismatch;Candidate preference;Time zone mismatch;Escalation from team lead / manager;Other","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Reshuffle_run_response_body__c","Reshuffle run response body","LongTextArea","False","","","False","False","32768",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","reshuffle_run_status_code__c","reshuffle run status code","Number","False","","","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Rollback_Initiated_By__c","Rollback Initiated By","Lookup","False","User","","False","False","",""
"AI_Assignment_Logs__c","AI Assignment Logs","Custom Object","Rollback_Response_Body__c","Rollback Response Body","LongTextArea","False","","","False","False","32768",""
