Month,Region,Product,Units,Revenue,Cost
2025-06,North,Enterprise,19,9481.0,4439.12
2025-06,South,Starter,30,1470.0,912.13
2025-06,South,Pro,29,3741.0,1984.71
2025-06,South,Enterprise,4,1996.0,1297.91
2025-06,East,Starter,32,1568.0,822.08
2025-06,East,Pro,35,4515.0,2419.35
2025-06,East,Enterprise,1,499.0,285.85
2025-06,West,Starter,58,2842.0,1515.96
2025-06,West,Pro,64,8256.0,4390.91
2025-06,West,Enterprise,7,3493.0,1947.68
2025-07,North,Starter,54,2646.0,1535.3
2025-07,North,Pro,47,6063.0,2844.95
2025-07,North,Enterprise,16,7984.0,3780.29
2025-07,South,Starter,20,980.0,473.18
2025-07,South,Pro,25,3225.0,2252.37
2025-07,South,Enterprise,7,3493.0,1917.93
2025-07,East,Starter,36,1764.0,955.33
2025-07,East,Pro,34,4386.0,2121.88
2025-07,East,Enterprise,16,7984.0,3807.98
2025-07,West,Starter,53,2597.0,1320.02
2025-07,West,Pro,66,8514.0,4896.89
2025-07,West,Enterprise,10,4990.0,2575.35
2025-08,North,Starter,58,2842.0,1399.27
2025-08,North,Pro,31,3999.0,2536.13
2025-08,North,Enterprise,8,3992.0,1975.5
2025-08,South,Starter,26,1274.0,677.1
2025-08,South,Pro,26,3354.0,2321.38
2025-08,South,Enterprise,2,998.0,542.96
2025-08,East,Starter,40,1960.0,1070.4
2025-08,East,Pro,42,5418.0,3162.35
2025-08,East,Enterprise,8,3992.0,1817.73
2025-08,West,Starter,57,2793.0,1752.44
2025-08,West,Pro,62,7998.0,4434.33
2025-08,West,Enterprise,17,8483.0,5118.72
2025-09,North,Starter,48,2352.0,1367.24
2025-09,North,Pro,50,6450.0,3135.37
2025-09,North,Enterprise,10,4990.0,2742.22
2025-09,South,Starter,40,1960.0,1014.39
2025-09,South,Pro,30,3870.0,2426.04
2025-09,South,Enterprise,9,4491.0,2051.94
2025-09,East,Starter,46,2254.0,1115.56
2025-09,East,Pro,34,4386.0,1986.06
2025-09,East,Enterprise,6,2994.0,1701.6
2025-09,West,Starter,84,4116.0,2438.61
2025-09,West,Pro,62,7998.0,4632.48
2025-09,West,Enterprise,1,499.0,239.91
2025-10,North,Starter,67,3283.0,2146.04
2025-10,North,Pro,49,6321.0,3328.3
2025-10,North,Enterprise,18,8982.0,4384.35
2025-10,South,Starter,41,2009.0,1147.98
2025-10,South,Pro,40,5160.0,2340.44
2025-10,South,Enterprise,14,6986.0,4602.26
2025-10,East,Starter,44,2156.0,1128.68
2025-10,East,Pro,52,6708.0,3184.83
2025-10,East,Enterprise,9,4491.0,2714.53
2025-10,West,Starter,72,3528.0,2365.95
2025-10,West,Pro,85,10965.0,6054.25
2025-10,West,Enterprise,14,6986.0,3232.2
2025-11,North,Starter,79,3871.0,1935.27
2025-11,North,Pro,64,8256.0,5439.55
2025-11,North,Enterprise,19,9481.0,4741.04
2025-11,South,Starter,42,2058.0,960.35
2025-11,South,Pro,38,4902.0,2727.19
2025-11,South,Enterprise,1,499.0,306.79
2025-11,East,Starter,60,2940.0,1851.52
2025-11,East,Pro,52,6708.0,3788.18
2025-11,East,Enterprise,21,10479.0,5422.71
2025-11,West,Starter,66,3234.0,1830.76
2025-11,West,Pro,70,9030.0,4533.37
2025-11,West,Enterprise,2,998.0,669.5
2025-12,North,Starter,70,3430.0,2104.91
2025-12,North,Pro,58,7482.0,4451.03
2025-12,North,Enterprise,8,3992.0,2519.92
2025-12,South,Starter,34,1666.0,1085.46
2025-12,South,Pro,40,5160.0,3293.86
2025-12,South,Enterprise,4,1996.0,1161.2
2025-12,East,Starter,58,2842.0,1357.03
2025-12,East,Pro,51,6579.0,3414.37
2025-12,East,Enterprise,4,1996.0,899.23
2025-12,West,Starter,91,4459.0,2143.04
2025-12,West,Pro,68,8772.0,5845.0
2025-12,West,Enterprise,14,6986.0,3318.01
